,Table,Row,DataFrame Type,CQL Type,Description,Special
1,application_{train|test}.csv,SK_ID_CURR,,,ID of loan in our sample,
2,application_{train|test}.csv,TARGET,,,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",
5,application_{train|test}.csv,NAME_CONTRACT_TYPE,StringType,TEXT,Identification if loan is cash or revolving,
6,application_{train|test}.csv,CODE_GENDER,StringType,,Gender of the client,
7,application_{train|test}.csv,FLAG_OWN_CAR,StringType,BOOLEAN,Flag if the client owns a car,
8,application_{train|test}.csv,FLAG_OWN_REALTY,StringType,,Flag if client owns a house or flat,
9,application_{train|test}.csv,CNT_CHILDREN,ShortType,SMALLINT,Number of children the client has,
10,application_{train|test}.csv,AMT_INCOME_TOTAL,DoubleType,DOUBLE,Income of the client,
11,application_{train|test}.csv,AMT_CREDIT,DoubleType,,Credit amount of the loan,
12,application_{train|test}.csv,AMT_ANNUITY,DoubleType,,Loan annuity,
13,application_{train|test}.csv,AMT_GOODS_PRICE,DoubleType,,For consumer loans it is the price of the goods for which the loan is given,
14,application_{train|test}.csv,NAME_TYPE_SUITE,StringType,,Who was accompanying client when he was applying for the loan,
15,application_{train|test}.csv,NAME_INCOME_TYPE,StringType,,"Clients income type (businessman, working, maternity leave,?)",
16,application_{train|test}.csv,NAME_EDUCATION_TYPE,StringType,,Level of highest education the client achieved,
17,application_{train|test}.csv,NAME_FAMILY_STATUS,StringType,,Family status of the client,
18,application_{train|test}.csv,NAME_HOUSING_TYPE,StringType,,"What is the housing situation of the client (renting, living with parents, ...)",
19,application_{train|test}.csv,REGION_POPULATION_RELATIVE,DoubleType,,Normalized population of region where client lives (higher number means the client lives in more populated region),normalized 
20,application_{train|test}.csv,DAYS_BIRTH,IntegerType,INT,Client's age in days at the time of application,time only relative to the application
21,application_{train|test}.csv,DAYS_EMPLOYED,IntegerType,,How many days before the application the person started current employment,time only relative to the application
22,application_{train|test}.csv,DAYS_REGISTRATION,IntegerType,,How many days before the application did client change his registration,time only relative to the application
23,application_{train|test}.csv,DAYS_ID_PUBLISH,IntegerType,,How many days before the application did client change the identity document with which he applied for the loan,time only relative to the application
24,application_{train|test}.csv,OWN_CAR_AGE,IntegerType,,Age of client's car,
25,application_{train|test}.csv,FLAG_MOBIL,ShortType,,"Did client provide mobile phone (1=YES, 0=NO)",
26,application_{train|test}.csv,FLAG_EMP_PHONE,ShortType,,"Did client provide work phone (1=YES, 0=NO)",
27,application_{train|test}.csv,FLAG_WORK_PHONE,ShortType,,"Did client provide home phone (1=YES, 0=NO)",
28,application_{train|test}.csv,FLAG_CONT_MOBILE,ShortType,,"Was mobile phone reachable (1=YES, 0=NO)",
29,application_{train|test}.csv,FLAG_PHONE,ShortType,,"Did client provide home phone (1=YES, 0=NO)",
30,application_{train|test}.csv,FLAG_EMAIL,ShortType,,"Did client provide email (1=YES, 0=NO)",
31,application_{train|test}.csv,OCCUPATION_TYPE,StringType,,What kind of occupation does the client have,
32,application_{train|test}.csv,CNT_FAM_MEMBERS,ShortType,,How many family members does client have,
33,application_{train|test}.csv,REGION_RATING_CLIENT,ShortType,,"Our rating of the region where client lives (1,2,3)",
34,application_{train|test}.csv,REGION_RATING_CLIENT_W_CITY,ShortType,,"Our rating of the region where client lives with taking city into account (1,2,3)",
35,application_{train|test}.csv,WEEKDAY_APPR_PROCESS_START,StringType,,On which day of the week did the client apply for the loan,
36,application_{train|test}.csv,HOUR_APPR_PROCESS_START,ShortType,,Approximately at what hour did the client apply for the loan,rounded
37,application_{train|test}.csv,REG_REGION_NOT_LIVE_REGION,ShortType,,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",
38,application_{train|test}.csv,REG_REGION_NOT_WORK_REGION,ShortType,,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",
39,application_{train|test}.csv,LIVE_REGION_NOT_WORK_REGION,ShortType,,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",
40,application_{train|test}.csv,REG_CITY_NOT_LIVE_CITY,ShortType,,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",
41,application_{train|test}.csv,REG_CITY_NOT_WORK_CITY,ShortType,,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",
42,application_{train|test}.csv,LIVE_CITY_NOT_WORK_CITY,ShortType,,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",
43,application_{train|test}.csv,ORGANIZATION_TYPE,StringType,,Type of organization where client works,
44,application_{train|test}.csv,EXT_SOURCE_1,DoubleType,,Normalized score from external data source,normalized
45,application_{train|test}.csv,EXT_SOURCE_2,DoubleType,,Normalized score from external data source,normalized
46,application_{train|test}.csv,EXT_SOURCE_3,DoubleType,,Normalized score from external data source,normalized
47,application_{train|test}.csv,APARTMENTS_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
48,application_{train|test}.csv,BASEMENTAREA_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
49,application_{train|test}.csv,YEARS_BEGINEXPLUATATION_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
50,application_{train|test}.csv,YEARS_BUILD_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
51,application_{train|test}.csv,COMMONAREA_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
52,application_{train|test}.csv,ELEVATORS_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
53,application_{train|test}.csv,ENTRANCES_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
54,application_{train|test}.csv,FLOORSMAX_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
55,application_{train|test}.csv,FLOORSMIN_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
56,application_{train|test}.csv,LANDAREA_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
57,application_{train|test}.csv,LIVINGAPARTMENTS_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
58,application_{train|test}.csv,LIVINGAREA_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
59,application_{train|test}.csv,NONLIVINGAPARTMENTS_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
60,application_{train|test}.csv,NONLIVINGAREA_AVG,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
61,application_{train|test}.csv,APARTMENTS_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
62,application_{train|test}.csv,BASEMENTAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
63,application_{train|test}.csv,YEARS_BEGINEXPLUATATION_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
64,application_{train|test}.csv,YEARS_BUILD_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
65,application_{train|test}.csv,COMMONAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
66,application_{train|test}.csv,ELEVATORS_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
67,application_{train|test}.csv,ENTRANCES_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
68,application_{train|test}.csv,FLOORSMAX_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
69,application_{train|test}.csv,FLOORSMIN_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
70,application_{train|test}.csv,LANDAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
71,application_{train|test}.csv,LIVINGAPARTMENTS_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
72,application_{train|test}.csv,LIVINGAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
73,application_{train|test}.csv,NONLIVINGAPARTMENTS_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
74,application_{train|test}.csv,NONLIVINGAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
75,application_{train|test}.csv,APARTMENTS_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
76,application_{train|test}.csv,BASEMENTAREA_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
77,application_{train|test}.csv,YEARS_BEGINEXPLUATATION_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
78,application_{train|test}.csv,YEARS_BUILD_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
79,application_{train|test}.csv,COMMONAREA_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
80,application_{train|test}.csv,ELEVATORS_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
81,application_{train|test}.csv,ENTRANCES_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
82,application_{train|test}.csv,FLOORSMAX_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
83,application_{train|test}.csv,FLOORSMIN_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
84,application_{train|test}.csv,LANDAREA_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
85,application_{train|test}.csv,LIVINGAPARTMENTS_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
86,application_{train|test}.csv,LIVINGAREA_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
