,Table,Row,DataFrame Type,CQL Type,Description,Special
87,application_{train|test}.csv,NONLIVINGAPARTMENTS_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
88,application_{train|test}.csv,NONLIVINGAREA_MEDI,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
89,application_{train|test}.csv,FONDKAPREMONT_MODE,StringType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
90,application_{train|test}.csv,HOUSETYPE_MODE,StringType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
91,application_{train|test}.csv,TOTALAREA_MODE,DoubleType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
92,application_{train|test}.csv,WALLSMATERIAL_MODE,StringType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
93,application_{train|test}.csv,EMERGENCYSTATE_MODE,StringType,,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
94,application_{train|test}.csv,OBS_30_CNT_SOCIAL_CIRCLE,IntegerType,,How many observation of client's social surroundings with observable 30 DPD (days past due) default,
95,application_{train|test}.csv,DEF_30_CNT_SOCIAL_CIRCLE,IntegerType,,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,
96,application_{train|test}.csv,OBS_60_CNT_SOCIAL_CIRCLE,IntegerType,,How many observation of client's social surroundings with observable 60 DPD (days past due) default,
97,application_{train|test}.csv,DEF_60_CNT_SOCIAL_CIRCLE,IntegerType,,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,
98,application_{train|test}.csv,DAYS_LAST_PHONE_CHANGE,IntegerType,,How many days before application did client change phone,
99,application_{train|test}.csv,FLAG_DOCUMENT_2,ShortType,,Did client provide document 2,
100,application_{train|test}.csv,FLAG_DOCUMENT_3,ShortType,,Did client provide document 3,
101,application_{train|test}.csv,FLAG_DOCUMENT_4,ShortType,,Did client provide document 4,
102,application_{train|test}.csv,FLAG_DOCUMENT_5,ShortType,,Did client provide document 5,
103,application_{train|test}.csv,FLAG_DOCUMENT_6,ShortType,,Did client provide document 6,
104,application_{train|test}.csv,FLAG_DOCUMENT_7,ShortType,,Did client provide document 7,
105,application_{train|test}.csv,FLAG_DOCUMENT_8,ShortType,,Did client provide document 8,
106,application_{train|test}.csv,FLAG_DOCUMENT_9,ShortType,,Did client provide document 9,
107,application_{train|test}.csv,FLAG_DOCUMENT_10,ShortType,,Did client provide document 10,
108,application_{train|test}.csv,FLAG_DOCUMENT_11,ShortType,,Did client provide document 11,
109,application_{train|test}.csv,FLAG_DOCUMENT_12,ShortType,,Did client provide document 12,
110,application_{train|test}.csv,FLAG_DOCUMENT_13,ShortType,,Did client provide document 13,
111,application_{train|test}.csv,FLAG_DOCUMENT_14,ShortType,,Did client provide document 14,
112,application_{train|test}.csv,FLAG_DOCUMENT_15,ShortType,,Did client provide document 15,
113,application_{train|test}.csv,FLAG_DOCUMENT_16,ShortType,,Did client provide document 16,
114,application_{train|test}.csv,FLAG_DOCUMENT_17,ShortType,,Did client provide document 17,
115,application_{train|test}.csv,FLAG_DOCUMENT_18,ShortType,,Did client provide document 18,
116,application_{train|test}.csv,FLAG_DOCUMENT_19,ShortType,,Did client provide document 19,
117,application_{train|test}.csv,FLAG_DOCUMENT_20,ShortType,,Did client provide document 20,
118,application_{train|test}.csv,FLAG_DOCUMENT_21,ShortType,,Did client provide document 21,
119,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_HOUR,IntegerType,,Number of enquiries to Credit Bureau about the client one hour before application,
120,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_DAY,IntegerType,,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),
121,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_WEEK,IntegerType,,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),
122,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_MON,IntegerType,,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),
123,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_QRT,IntegerType,,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),
124,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_YEAR,IntegerType,,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),
125,bureau.csv,SK_ID_CURR,,,"ID of loan in our sample - one loan in our sample can have 0,1,2 or more related previous credits in credit bureau ",hashed
126,bureau.csv,SK_BUREAU_ID,,,Recoded ID of previous Credit Bureau credit related to our loan (unique coding for each loan application),hashed
127,bureau.csv,CREDIT_ACTIVE,StringType,,Status of the Credit Bureau (CB) reported credits,
128,bureau.csv,CREDIT_CURRENCY,StringType,,Recoded currency of the Credit Bureau credit,recoded
129,bureau.csv,DAYS_CREDIT,IntegerType,,How many days before current application did client apply for Credit Bureau credit,time only relative to the application
130,bureau.csv,CREDIT_DAY_OVERDUE,IntegerType,,Number of days past due on CB credit at the time of application for related loan in our sample,
131,bureau.csv,DAYS_CREDIT_ENDDATE,IntegerType,,Remaining duration of CB credit (in days) at the time of application in Home Credit,time only relative to the application
132,bureau.csv,DAYS_ENDDATE_FACT,IntegerType,,Days since CB credit ended at the time of application in Home Credit (only for closed credit),time only relative to the application
133,bureau.csv,AMT_CREDIT_MAX_OVERDUE,IntegerType,,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample),
134,bureau.csv,CNT_CREDIT_PROLONG,IntegerType,,How many times was the Credit Bureau credit prolonged,
135,bureau.csv,AMT_CREDIT_SUM,IntegerType,,Current credit amount for the Credit Bureau credit,
136,bureau.csv,AMT_CREDIT_SUM_DEBT,IntegerType,,Current debt on Credit Bureau credit,
137,bureau.csv,AMT_CREDIT_SUM_LIMIT,IntegerType,,Current credit limit of credit card reported in Credit Bureau,
138,bureau.csv,AMT_CREDIT_SUM_OVERDUE,IntegerType,,Current amount overdue on Credit Bureau credit,
139,bureau.csv,CREDIT_TYPE,StringType,,"Type of Credit Bureau credit (Car, cash,...)",
140,bureau.csv,DAYS_CREDIT_UPDATE,IntegerType,,How many days before loan application did last information about the Credit Bureau credit come,time only relative to the application
141,bureau.csv,AMT_ANNUITY,IntegerType,,Annuity of the Credit Bureau credit,
142,bureau_balance.csv,SK_BUREAU_ID,,,Recoded ID of Credit Bureau credit (unique coding for each application) - use this to join to CREDIT_BUREAU table ,hashed
143,bureau_balance.csv,MONTHS_BALANCE,ShortType,,Month of balance relative to application date (-1 means the freshest balance date),time only relative to the application
144,bureau_balance.csv,STATUS,StringType,,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,? [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,? 5 means DPD 120+ or sold or written off ] )",
145,POS_CASH_balance.csv,SK_ID_PREV ,,,"ID of previous credit in Home Credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",
146,POS_CASH_balance.csv,SK_ID_CURR,,,ID of loan in our sample,
147,POS_CASH_balance.csv,MONTHS_BALANCE,IntegerType,,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )",time only relative to the application
148,POS_CASH_balance.csv,CNT_INSTALMENT,IntegerType,,Term of previous credit (can change over time),
149,POS_CASH_balance.csv,CNT_INSTALMENT_FUTURE,IntegerType,,Installments left to pay on the previous credit,
150,POS_CASH_balance.csv,NAME_CONTRACT_STATUS,StringType,,Contract status during the month,
151,POS_CASH_balance.csv,SK_DPD,ShortType,,DPD (days past due) during the month of previous credit,
152,POS_CASH_balance.csv,SK_DPD_DEF,ShortType,,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,
153,credit_card_balance.csv,SK_ID_PREV ,,,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",hashed
154,credit_card_balance.csv,SK_ID_CURR,,,ID of loan in our sample,hashed
155,credit_card_balance.csv,MONTHS_BALANCE,ShortType,,Month of balance relative to application date (-1 means the freshest balance date),time only relative to the application
156,credit_card_balance.csv,AMT_BALANCE,DoubleType,,Balance during the month of previous credit,
157,credit_card_balance.csv,AMT_CREDIT_LIMIT_ACTUAL,DoubleType,,Credit card limit during the month of the previous credit,
158,credit_card_balance.csv,AMT_DRAWINGS_ATM_CURRENT,DoubleType,,Amount drawing at ATM during the month of the previous credit,
159,credit_card_balance.csv,AMT_DRAWINGS_CURRENT,DoubleType,,Amount drawing during the month of the previous credit,
160,credit_card_balance.csv,AMT_DRAWINGS_OTHER_CURRENT,DoubleType,,Amount of other drawings during the month of the previous credit,
161,credit_card_balance.csv,AMT_DRAWINGS_POS_CURRENT,DoubleType,,Amount drawing or buying goods during the month of the previous credit,
162,credit_card_balance.csv,AMT_INST_MIN_REGULARITY,DoubleType,,Minimal installment for this month of the previous credit,
163,credit_card_balance.csv,AMT_PAYMENT_CURRENT,DoubleType,,How much did the client pay during the month on the previous credit,
164,credit_card_balance.csv,AMT_PAYMENT_TOTAL_CURRENT,DoubleType,,How much did the client pay during the month in total on the previous credit,
165,credit_card_balance.csv,AMT_RECEIVABLE_PRINCIPAL,DoubleType,,Amount receivable for principal on the previous credit,
166,credit_card_balance.csv,AMT_RECIVABLE,DoubleType,,Amount receivable on the previous credit,
167,credit_card_balance.csv,AMT_TOTAL_RECEIVABLE,DoubleType,,Total amount receivable on the previous credit,
168,credit_card_balance.csv,CNT_DRAWINGS_ATM_CURRENT,IntegerType,,Number of drawings at ATM during this month on the previous credit,
169,credit_card_balance.csv,CNT_DRAWINGS_CURRENT,IntegerType,,Number of drawings during this month on the previous credit,
170,credit_card_balance.csv,CNT_DRAWINGS_OTHER_CURRENT,IntegerType,,Number of other drawings during this month on the previous credit,
171,credit_card_balance.csv,CNT_DRAWINGS_POS_CURRENT,IntegerType,,Number of drawings for goods during this month on the previous credit,
172,credit_card_balance.csv,CNT_INSTALMENT_MATURE_CUM,IntegerType,,Number of paid installments on the previous credit,
173,credit_card_balance.csv,NAME_CONTRACT_STATUS,StringType,,"Contract status (active signed,...) on the previous credit",
174,credit_card_balance.csv,SK_DPD,ShortType,,DPD (Days past due) during the month on the previous credit,
175,credit_card_balance.csv,SK_DPD_DEF,ShortType,,DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,
176,previous_application.csv,SK_ID_PREV ,,,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed
177,previous_application.csv,SK_ID_CURR,,,ID of loan in our sample,hashed
178,previous_application.csv,NAME_CONTRACT_TYPE,StringType,,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",
179,previous_application.csv,AMT_ANNUITY,DoubleType,,Annuity of previous application,
180,previous_application.csv,AMT_APPLICATION,DoubleType,,For how much credit did client ask on the previous application,
181,previous_application.csv,AMT_CREDIT,DoubleType,,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",
182,previous_application.csv,AMT_DOWN_PAYMENT,DoubleType,,Down payment on the previous application,
183,previous_application.csv,AMT_GOODS_PRICE,DoubleType,,Goods price of good that client asked for (if applicable) on the previous application,
184,previous_application.csv,WEEKDAY_APPR_PROCESS_START,StringType,,On which day of the week did the client apply for previous application,
185,previous_application.csv,HOUR_APPR_PROCESS_START,ShortType,,Approximately at what day hour did the client apply for the previous application,rounded
186,previous_application.csv,FLAG_LAST_APPL_PER_CONTRACT,StringType,,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,
187,previous_application.csv,WEEKDAY_APPR_PROCESS_START,ShortType,,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,
188,previous_application.csv,NFLAG_MICRO_CASH,²»´æÔÚ,,Flag Micro finance loan,
189,previous_application.csv,RATE_DOWN_PAYMENT,DoubleType,,Down payment rate normalized on previous credit,normalized
190,previous_application.csv,RATE_INTEREST_PRIMARY,DoubleType,,Interest rate normalized on previous credit,normalized
191,previous_application.csv,RATE_INTEREST_PRIVILEGED,DoubleType,,Interest rate normalized on previous credit,normalized
192,previous_application.csv,NAME_CASH_LOAN_PURPOSE,StringType,,Purpose of the cash loan,
193,previous_application.csv,NAME_CONTRACT_STATUS,StringType,,"Contract status (approved, cancelled, ...) of previous application",
194,previous_application.csv,DAYS_DECISION,IntegerType,,Relative to current application when was the decision about previous application made,time only relative to the application
195,previous_application.csv,NAME_PAYMENT_TYPE,StringType,,Payment method that client chose to pay for the previous application,
196,previous_application.csv,CODE_REJECT_REASON,StringType,,Why was the previous application rejected,
197,previous_application.csv,NAME_TYPE_SUITE,StringType,,Who accompanied client when applying for the previous application,
198,previous_application.csv,NAME_CLIENT_TYPE,StringType,,Was the client old or new client when applying for the previous application,
199,previous_application.csv,NAME_GOODS_CATEGORY,StringType,,What kind of goods did the client apply for in the previous application,
200,previous_application.csv,NAME_PORTFOLIO,StringType,,"Was the previous application for CASH, POS, CAR, ?",
201,previous_application.csv,NAME_PRODUCT_TYPE,StringType,,Was the previous application x-sell o walk-in,
202,previous_application.csv,CHANNEL_TYPE,StringType,,Through which channel we acquired the client on the previous application,
203,previous_application.csv,SELLERPLACE_AREA,IntegerType,,Selling area of seller place of the previous application,
204,previous_application.csv,NAME_SELLER_INDUSTRY,StringType,,The industry of the seller,
205,previous_application.csv,CNT_PAYMENT,IntegerType,,Term of previous credit at application of the previous application,
206,previous_application.csv,NAME_YIELD_GROUP,StringType,,Grouped interest rate into small medium and high of the previous application,grouped
207,previous_application.csv,PRODUCT_COMBINATION,StringType,,Detailed product combination of the previous application,
208,previous_application.csv,DAYS_FIRST_DRAWING,IntegerType,,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application
209,previous_application.csv,DAYS_FIRST_DUE,IntegerType,,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application
210,previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,IntegerType,,Relative to application date of current application when was the first due of the previous application,time only relative to the application
211,previous_application.csv,DAYS_LAST_DUE,IntegerType,,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
212,previous_application.csv,DAYS_TERMINATION,IntegerType,,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
213,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,ShortType,,Did the client requested insurance during the previous application,
214,installments_payments.csv,SK_ID_PREV ,,,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",hashed
215,installments_payments.csv,SK_ID_CURR,,,ID of loan in our sample,hashed
216,installments_payments.csv,NUM_INSTALMENT_VERSION,IntegerType,,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,
217,installments_payments.csv,NUM_INSTALMENT_NUMBER,IntegerType,,On which installment we observe payment,
218,installments_payments.csv,DAYS_INSTALMENT,IntegerType,,When the installment of previous credit was supposed to be paid (relative to application date of current loan),time only relative to the application
219,installments_payments.csv,DAYS_ENTRY_PAYMENT,IntegerType,,When was the installments of previous credit paid actually (relative to application date of current loan),time only relative to the application
220,installments_payments.csv,AMT_INSTALMENT,DoubleType,,What was the prescribed installment amount of previous credit on this installment,
221,installments_payments.csv,AMT_PAYMENT,DoubleType,,What the client actually paid on previous credit on this installment,
